# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
a,b,c,d,e
16.0,0.8180391319674924,0.7108423077777252,2.0,1.0
16.0,0.7198533535433865,0.6524219625870585,4.0,2.0
16.0,0.556309222572834,0.4979448612190481,8.0,3.0
16.0,0.382513468824261,0.3418874263502372,16.0,4.0
16.0,0.2169054864896438,0.1869942083120793,32.0,5.0
16.0,0.08867316549982444,0.08586187095826014,48.0,6.0
16.0,0.02072778857491142,0.02569831707682174,62.0,7.0
16.0,0.0010474499279597318,0.0014029763620176292,74.0,8.0
16.0,0.0007468079434802585,0.0014940141613036476,83.0,9.0
16.0,0.0005477457550839329,0.000892886931286415,86.0,10.0
17.0,0.8180391319674924,0.7108423077777252,2.0,1.0
17.0,0.7198533535433865,0.6524219625870585,4.0,2.0
17.0,0.556309222572834,0.4979448612190481,8.0,3.0
17.0,0.382513468824261,0.3418874263502372,16.0,4.0
17.0,0.2169054864896438,0.1869942083120793,32.0,5.0
17.0,0.08867315868630254,0.08586202015890498,49.0,6.0
17.0,0.02072779222613708,0.025698311235396315,64.0,7.0
17.0,0.0010478606605302746,0.0014029677662379704,76.0,8.0
17.0,0.0003689747257697136,0.0006037957595333008,85.0,9.0
17.0,0.0004056516183453511,0.0006061217764728279,88.0,10.0
18.0,0.8180391319674924,0.7108423077777252,2.0,1.0
18.0,0.7198533535433865,0.6524219625870585,4.0,2.0
18.0,0.556309222572834,0.4979448612190481,8.0,3.0
18.0,0.382513468824261,0.3418874263502372,16.0,4.0
18.0,0.2169054864896438,0.1869942083120793,32.0,5.0
18.0,0.08867322093327447,0.08586187586403322,50.0,6.0
18.0,0.020727618710095146,0.025698700628578815,65.0,7.0
18.0,0.0010463408775181517,0.001403104454362616,77.0,8.0
18.0,0.00036849027544795385,0.000590112594503667,86.0,9.0
18.0,0.0004497928134800647,0.0005935921950344598,89.0,10.0
19.0,0.8180391319674924,0.7108423077777252,2.0,1.0
19.0,0.7198533535433865,0.6524219625870585,4.0,2.0
19.0,0.556309222572834,0.4979448612190481,8.0,3.0
19.0,0.382513468824261,0.3418874263502372,16.0,4.0
19.0,0.2169054864896438,0.1869942083120793,32.0,5.0
19.0,0.08867316453644139,0.08586184296839755,51.0,6.0
19.0,0.02072771171329405,0.025698696167662752,66.0,7.0
19.0,0.0010469148593015704,0.001403103532030808,78.0,8.0
19.0,0.00036625944469226025,0.0005952754377853538,87.0,9.0
19.0,0.0007795294924541485,0.001574538876008637,90.0,10.0
20.0,0.8180391319674924,0.7108423077777252,2.0,1.0
20.0,0.7198533535433865,0.6524219625870585,4.0,2.0
20.0,0.556309222572834,0.4979448612190481,8.0,3.0
20.0,0.382513468824261,0.3418874263502372,16.0,4.0
20.0,0.2169054864896438,0.1869942083120793,32.0,5.0
20.0,0.0886731688533336,0.08586187546599304,52.0,6.0
20.0,0.020720841220692395,0.02569872631532536,67.0,7.0
20.0,0.0009939781244515185,0.0014030851461133379,79.0,8.0
20.0,0.00016945525829211876,0.00035012196714593745,88.0,9.0
20.0,0.0007089178526688362,0.0015859595031470048,91.0,10.0
