# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
a,b,c,d,e
4.0,0.016199881490226158,0.013280149513356694,35.0,10.0
4.5,0.6235121449100712,0.5762505187641658,2.0,1.0
4.5,0.5263497591140709,0.4945575383861498,4.0,2.0
4.5,0.3770375821754356,0.35637307823095177,8.0,3.0
4.5,0.2257606148301101,0.20020346661586816,13.0,4.0
4.5,0.12878028515866766,0.10917695932931287,18.0,5.0
4.5,0.06625925784402732,0.04892895442290597,23.0,6.0
4.5,0.032821804628549785,0.017590066580274302,28.0,7.0
4.5,0.019777652985492354,0.008916242381188736,33.0,8.0
4.5,0.009870903301920739,0.006451012469516982,38.0,9.0
4.5,0.006619239857547725,0.005703919269534118,40.0,10.0
5.0,0.6235121449100712,0.5762505187641658,2.0,1.0
5.0,0.5263497591140709,0.4945575383861498,4.0,2.0
5.0,0.3770375821754356,0.35637307823095177,8.0,3.0
5.0,0.2257606148301101,0.20020346661586816,13.0,4.0
5.0,0.12878028515866766,0.10917695932931287,18.0,5.0
5.0,0.06624908405917347,0.04892884345405619,24.0,6.0
5.0,0.032782715496034405,0.017590624674771113,29.0,7.0
5.0,0.019696364873353828,0.008914843568567497,34.0,8.0
5.0,0.00967118647806237,0.006451030913016353,39.0,9.0
5.0,0.0063153415644129724,0.005259137372508985,41.0,10.0
5.5,0.6235121449100712,0.5762505187641658,2.0,1.0
5.5,0.5263497591140709,0.4945575383861498,4.0,2.0
5.5,0.3770375821754356,0.35637307823095177,8.0,3.0
5.5,0.2257512979660204,0.20019681911896947,14.0,4.0
5.5,0.12881310473658328,0.1092510661769867,20.0,5.0
5.5,0.06612293439305243,0.04890631067289945,26.0,6.0
5.5,0.03245033284684131,0.017578936800356524,32.0,7.0
5.5,0.019134090294422867,0.00891269429707046,38.0,8.0
5.5,0.008501248585568088,0.0064505276318585995,43.0,9.0
5.5,0.0042553901711954315,0.004013541144564436,46.0,10.0
6.0,0.6235121449100712,0.5762505187641658,2.0,1.0
6.0,0.5263497591140709,0.4945575383861498,4.0,2.0
6.0,0.3770375821754356,0.35637307823095177,8.0,3.0
6.0,0.2257512979660204,0.20019681911896947,14.0,4.0
6.0,0.12881310473658328,0.1092510661769867,20.0,5.0
6.0,0.06612293439305243,0.04890631067289945,26.0,6.0
6.0,0.03245067888274908,0.017556964703571112,32.0,7.0
6.0,0.019122142809264504,0.008912631343180393,38.0,8.0
6.0,0.00848342495080279,0.006450524531533697,44.0,9.0
6.0,0.004226013617749197,0.004114709509203576,47.0,10.0
6.5,0.6235121449100712,0.5762505187641658,2.0,1.0
6.5,0.5263497591140709,0.4945575383861498,4.0,2.0
6.5,0.3770375821754356,0.35637307823095177,8.0,3.0
6.5,0.22575067602321267,0.20019954721350391,15.0,4.0
6.5,0.12874992416559083,0.109229201568761,22.0,5.0
6.5,0.06603000761455474,0.048906744009233574,29.0,6.0
6.5,0.03227221495597519,0.017561086849218557,36.0,7.0
6.5,0.0188159066942855,0.008912663686571405,43.0,8.0
6.5,0.0077674052132596285,0.006450508515512167,49.0,9.0
6.5,0.0025461414284416663,0.0020863791391599216,52.0,10.0
7.0,0.6235121449100712,0.5762505187641658,2.0,1.0
7.0,0.5263497591140709,0.4945575383861498,4.0,2.0
7.0,0.3770375821754356,0.35637307823095177,8.0,3.0
7.0,0.22575067602321267,0.20019954721350391,15.0,4.0
7.0,0.12874992416559083,0.109229201568761,22.0,5.0
7.0,0.06602938614284214,0.04891125623934136,29.0,6.0
7.0,0.03225664366317971,0.01756145645487091,36.0,7.0
7.0,0.018789182328936973,0.008913021305698656,43.0,8.0
7.0,0.00769776027160371,0.006450449059266884,50.0,9.0
7.0,0.002321868518253774,0.0018693281500430576,53.0,10.0
7.5,0.6235121449100712,0.5762505187641658,2.0,1.0
7.5,0.5263497591140709,0.4945575383861498,4.0,2.0
7.5,0.3770375821754356,0.35637307823095177,8.0,3.0
7.5,0.22575130400517898,0.2002032893949018,16.0,4.0
7.5,0.12876375443044538,0.10923142786539197,24.0,5.0
7.5,0.06610196903292702,0.04891223183078682,32.0,6.0
7.5,0.03240490611762992,0.017560502882570262,40.0,7.0
7.5,0.01904918893092524,0.008913013194323277,48.0,8.0
7.5,0.008312619753025371,0.0064508872738027676,55.0,9.0
7.5,0.0038146420646792477,0.005904442343421249,58.0,10.0
8.0,0.6235121449100712,0.5762505187641658,2.0,1.0
8.0,0.5263497591140709,0.4945575383861498,4.0,2.0
8.0,0.3770375821754356,0.35637307823095177,8.0,3.0
8.0,0.22575130400517898,0.2002032893949018,16.0,4.0
8.0,0.12876375443044538,0.10923142786539197,24.0,5.0
8.0,0.06700450645858173,0.04891313248332889,32.0,6.0
8.0,0.03686578018821971,0.024662454531043116,40.0,7.0
8.0,0.025920635393501944,0.024664790554237984,48.0,8.0
8.0,0.019451370729665452,0.02466642475333196,55.0,9.0
8.0,0.017999418152261693,0.0246713568973395,58.0,10.0
8.5,0.6235121449100712,0.5762505187641658,2.0,1.0
