# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
15.0,0.37917760834359254,0.3396808627799488,16.0,4.0
15.0,0.21224356428360625,0.1733694252055649,32.0,5.0
15.0,0.09505938490720431,0.06726623492197391,49.0,6.0
15.0,0.032988421739602536,0.019917506779679944,71.0,7.0
15.0,0.006759915999281981,0.003771831021728105,91.0,8.0
15.0,1.4399869747622154,3.1752481697528974,104.0,9.0
16.0,0.8049501243709049,0.9999957910886057,2.0,1.0
16.0,0.6100183843226303,0.5585338377245307,4.0,2.0
16.0,0.52492453468059,0.4901851068340453,8.0,3.0
16.0,0.37917760834359254,0.3396808627799488,16.0,4.0
16.0,0.21224356428360625,0.1733694252055649,32.0,5.0
16.0,0.09505938542435331,0.06726623548709751,48.0,6.0
16.0,0.032988369465396475,0.019917512715168024,67.0,7.0
16.0,0.006757550161208385,0.0037717851503568634,91.0,8.0
16.0,0.12664454116991783,0.28044184792280763,103.0,9.0
17.0,0.8049501243709049,0.9999957910886057,2.0,1.0
17.0,0.6100183843226303,0.5585338377245307,4.0,2.0
17.0,0.52492453468059,0.4901851068340453,8.0,3.0
17.0,0.37917760834359254,0.3396808627799488,16.0,4.0
17.0,0.21224356428360625,0.1733694252055649,32.0,5.0
17.0,0.0950593854665203,0.06726623547289669,64.0,6.0
17.0,0.032988529002931054,0.019917511342648672,80.0,7.0
17.0,0.006757781382721737,0.0037717871667328545,97.0,8.0
17.0,0.01646541357446292,0.03622045668094223,108.0,9.0
18.0,0.8049501243709049,0.9999957910886057,2.0,1.0
18.0,0.6100183843226303,0.5585338377245307,4.0,2.0
18.0,0.52492453468059,0.4901851068340453,8.0,3.0
18.0,0.37917760834359254,0.3396808627799488,16.0,4.0
18.0,0.21224356428360625,0.1733694252055649,32.0,5.0
18.0,0.0950593854665203,0.06726623547289669,64.0,6.0
18.0,0.03298853224426529,0.019917511343756154,94.0,7.0
18.0,0.00675722002107319,0.00377175165633083,120.0,8.0
18.0,0.00035276396340838467,0.0004383388145541574,133.0,9.0
19.0,0.8049501243709049,0.9999957910886057,2.0,1.0
19.0,0.6100183843226303,0.5585338377245307,4.0,2.0
19.0,0.52492453468059,0.4901851068340453,8.0,3.0
19.0,0.37917760834359254,0.3396808627799488,16.0,4.0
19.0,0.21224356428360625,0.1733694252055649,32.0,5.0
19.0,0.0950593854665203,0.06726623547289669,64.0,6.0
19.0,0.03298853273438631,0.019917511320046922,92.0,7.0
19.0,0.006759859803147537,0.003771762730218806,115.0,8.0
19.0,0.10648551941045149,0.23604331740611628,130.0,9.0
20.0,0.8049501243709049,0.9999957910886057,2.0,1.0
20.0,0.6100183843226303,0.5585338377245307,4.0,2.0
20.0,0.52492453468059,0.4901851068340453,8.0,3.0
20.0,0.37917760834359254,0.3396808627799488,16.0,4.0
20.0,0.21224356428360625,0.1733694252055649,32.0,5.0
20.0,0.0950593854665203,0.06726623547289669,64.0,6.0
20.0,0.03298853287662391,0.019917511337524757,91.0,7.0
